Go.	ទៅ។
Stop!	ឈប់!
Cheers!	ជល់មួយ !
Go now.	ទៅឥឡូវហ្នឹង។
Listen.	ចូរស្ដាប់។
Listen.	សូមស្ដាប់។
No way!	គ្មានគំនិតទេ !
No way!	ចប់ហើយ !
No way!	អត់មានទេ !
No way!	គ្មានយោបល់ទេ !
No way!	គ្តៀនគំនិត !
No way!	កប់យោបល់ !
Get out!	ចេញទៅ !
Go away!	ចេញទៅ !
Go away!	ទៅក្រៅទៅ !
Go away!	ទៅទៅ !
Go away!	ទៅឱ្យឆ្ងាយ !
Go away.	ទៅឱ្យឆ្ងាយ ។
Go away.	ចាកចេញឆ្ងាយ ។
Go away.	ឃ្លាតឆ្ងាយហើយ ។
Go away.	ទៅបាត់ហើយ ។
Go away.	ចេញឆ្ងាយហើយ ។
Go home.	ទៅផ្ទះ។
Goodbye!	លាហើយ!
Goodbye!	ជំរាបលា!
Help me.	ជួយខ្ញុំផង ។
Shut up!	ស្ងាត់ !
Shut up!	ស្ងាត់ភ្លាម !
Welcome.	សូមស្វាគមន៏ ។
Don't go.	កុំទៅ។
Hurry up.	ប្រញាប់ឡើង ។
Hurry up.	លឿនឡើង ។
Hurry up.	ឱ្យលឿន ។
I can go.	ខ្ញុំទៅបាន។
I'm fine.	ខ្ញុំសុខសប្បាយ ។
Let's go!	តោះ!
Let's go!	តោះទៅ !
Let's go!	តោះយើង !
Let's go!	តោះយើងទៅ !
Let's go.	តោះ។
What fun!	សប្បាយណាស់ !
What fun!	Sɑbaay-ə nəh!
Follow me.	មកតាមខ្ញុំ ។
I am sick.	ខ្ញុំឈឺ ។
I give up.	ខ្ញុំចុះចាញ់ហើយ។
I'm sorry.	សុំទោស ។
I'm sorry.	ខ្ញុំសុំទោស ។
I'm sorry.	សុំទោសណា ។
I'm tired.	ខ្ញុំ គឺ ហត់ ។
I'm tired.	ខ្ញុំអស់កម្លាំង ។
I'm tired.	អស់កម្លាំងណាស់ ។
I'm tired.	ហត់ដល់ហើយ ។
Of course!	ច្បាស់ជាអញ្ចឹងហើយ!
We can go.	យើងអាចទៅបាន។
Go see Tom.	ទៅជួប ថម។
I ran home.	ខ្ញុំរត់ទៅផ្ទះ ។
I'm hungry!	ខ្ញុំឃ្លាន !
I'm hungry!	ខ្ញុំហេវ !
I'm hungry!	ឃ្លានបាយ !
I'm hungry!	ហេវបាយ !
Is that so?	អញ្ចឹងមែន ?
Is that so?	មែនអេ៎ ?
No problem.	អត់បញ្ហា។
Was it fun?	សប្បាយអត់ ?
What is it?	អីគេហ្នឹង ?
Don't worry.	កុំបារម្ភអី ។
Don't worry.	កុំព្រួយណា៎ ។
Don't worry.	កុំភ័យអី ។
Go help Tom.	ទៅជួយ ថម។
Go meet Tom.	ទៅជួប ថម។
Go tell Tom.	ទៅប្រាប់ ថម។
Go that way.	ទៅខាងនោះ។
Go with Tom.	ទៅជាមួយ ថម។
Help me out.	ជួយខ្ញុំផង ។
How are you?	សុខសប្បាយអត់ ?
I eat bread.	ខ្ញុំញ៉ាំនំប៉័ង។
I have time.	ខ្ញុំមានពេល ។
I like cats.	ខ្ញុំចូលចិត្តឆ្មា ។
I love cats.	ខ្ញុំស្រលាញ់ឆ្មា ។
I thank you.	ខ្ញុំសូមអរគុណដល់អ្នក ។
I'm a woman.	ខ្ញុំគឺជាមនុស្សស្រី ។
I'm thirsty.	ខ្ញុំស្រេកទឺក ។
I'm thirsty.	ខ្ញុំឃ្លានទឹក ។
OK. I agree.	បាទ! យល់ព្រម ។
OK. I agree.	ចា៎! យល់ព្រម ។
Where is it?	តើនៅកន្លែងណា ?
Who are you?	តើអ្នកជានណា?
Are you sure?	តើអ្នកប្រាកដហេ៎ ?
Are you sure?	តើប្រាកដ ?
Are you sure?	តើអ្នកច្បាស់ហេ៎ ?
Find the cat.	រកឆ្មាមើល ។
Go to school.	ទៅសាលារៀន។
Good evening.	សាយ័ណ្ហសួស្ដី។
I am a woman.	ខ្ញុំគឺជាមនុស្សស្រី ។
I don't know.	ខ្ញុំ អត់ដឹង ។
I don't know.	ខ្ញុំ មិនដឹងអីទេ ។
I understand.	យល់ហើយ ។
I want money.	ខ្ញុំចង់បានលុយ ។
I want to go.	ខ្ញុំចង់ទៅ។
This is food.	នេះគឺជា អាហារ ។
Tom was home.	ថម នៅផ្ទះ ។
You go first.	ទៅមុនទៅ ។
You're wrong.	អ្នកខុសហើយ ។
Are you happy?	តើអ្នកសប្បាយចិត្តទេ ?
Are you happy?	តើសប្បាយទេ ?
Are you happy?	សប្បាយអត់ ?
Are you tired?	តើអ្នកហត់ឬទេ ?
Are you tired?	តើអ្នកអស់កម្លាំង ?
Are you tired?	ហត់អត់ ?
Come back, OK?	ត្រលប់មកវិញណា !
Go over there.	ទៅទីនោះ។
I can't sleep.	ខ្ញុំ គេងអត់លក់ ។
I've got time.	ខ្ញុំមានពេល ។
Is there time?	តើមានពេលទេ ?
It hurts here.	ខ្ញុំឈឺកន្លែងនេះ ។
Mary is a fox.	ម៉ារី សិចស៊ីណាស់ ។
Tom went home.	ថម ទៅផ្ទះ ។
We're special.	យើងគឺពិសេស ។
Where are you?	តើអ្នកនៅកន្លែងណា ?
